"local","parcela","arvore","fuste","cap","h","especie"
"chauas",1,1,1,210,80,"Myrcia sulfiflora"
"chauas",1,3,1,170,80,"Myrcia sulfiflora"
"chauas",1,4,1,720,70,"Syagrus romanzoffianus"
"chauas",1,5,1,200,80,"Tabebuia cassinoides"
"chauas",1,6,1,750,170,"indet.1"
"chauas",1,7,1,320,80,"Myrcia sulfiflora"
"chauas",1,8,1,480,160,"Tabebuia cassinoides"
"chauas",1,9,1,240,140,"Tabebuia cassinoides"
"chauas",1,10,1,290,120,"Tabebuia cassinoides"
"chauas",1,10,2,310,120,"Tabebuia cassinoides"
"chauas",1,10,3,230,120,"Tabebuia cassinoides"
"chauas",1,11,1,210,80,"Tabebuia cassinoides"
"chauas",1,12,1,240,70,"Myrcia sulfiflora"
"chauas",1,13,1,250,80,"Myrcia sulfiflora"
"chauas",1,14,1,160,100,"Tabebuia cassinoides"
"chauas",1,14,2,230,100,"Tabebuia cassinoides"
"chauas",1,14,3,320,100,"Tabebuia cassinoides"
"chauas",1,15,1,410,160,"Tabebuia cassinoides"
"chauas",1,16,1,600,140,"myrtaceae4"
"chauas",1,17,1,240,100,"Tabebuia cassinoides"
"chauas",1,17,2,180,100,"Tabebuia cassinoides"
"chauas",1,17,3,200,100,"Tabebuia cassinoides"
"chauas",1,17,4,430,100,"Tabebuia cassinoides"
"chauas",1,18,1,210,90,"Myrcia sulfiflora"
"chauas",1,19,1,390,80,"Tabebuia cassinoides"
"chauas",1,20,1,310,90,"Tabebuia cassinoides"
"chauas",1,20,2,240,90,"Tabebuia cassinoides"
"chauas",1,21,1,520,150,"myrtaceae1"
"chauas",1,21,2,450,150,"myrtaceae1"
"chauas",1,22,1,230,80,"indet.2"
"chauas",1,23,1,670,230,"Tabebuia cassinoides"
"chauas",1,24,1,240,100,"Tabebuia cassinoides"
"chauas",1,24,2,310,100,"Tabebuia cassinoides"
"chauas",1,24,3,220,100,"Tabebuia cassinoides"
"chauas",1,25,1,270,110,"Tabebuia cassinoides"
"chauas",1,25,2,170,110,"Tabebuia cassinoides"
"chauas",1,26,1,350,90,"Tabebuia cassinoides"
"chauas",1,27,1,320,60,"Myrcia sulfiflora"
"chauas",1,28,1,220,60,"Myrcia sulfiflora"
"chauas",1,29,1,390,150,"Tabebuia cassinoides"
"chauas",1,29,2,350,150,"Tabebuia cassinoides"
"chauas",1,30,1,290,120,"Tabebuia cassinoides"
"chauas",1,30,2,260,120,"Tabebuia cassinoides"
"chauas",1,30,3,200,120,"Tabebuia cassinoides"
"chauas",1,31,1,240,110,"Tabebuia cassinoides"
"chauas",1,31,2,340,110,"Tabebuia cassinoides"
"chauas",1,31,3,310,110,"Tabebuia cassinoides"
"chauas",1,32,1,200,70,"Tabebuia cassinoides"
"chauas",1,32,2,200,70,"Tabebuia cassinoides"
"chauas",1,33,1,220,90,"Tabebuia cassinoides"
"chauas",1,33,2,240,90,"Tabebuia cassinoides"
"chauas",1,34,1,160,90,"Psidium sp"
"chauas",1,34,2,160,90,"Psidium sp"
"chauas",1,34,3,170,90,"Psidium sp"
"chauas",1,35,1,230,70,"Tabebuia cassinoides"
"chauas",1,35,2,310,70,"Tabebuia cassinoides"
"chauas",1,36,1,340,110,"Tabebuia cassinoides"
"chauas",1,36,2,210,110,"Tabebuia cassinoides"
"chauas",1,37,1,270,100,"Tabebuia cassinoides"
"chauas",1,38,1,330,90,"Tabebuia cassinoides"
"chauas",1,39,1,450,120,"Tabebuia cassinoides"
"chauas",1,39,2,160,120,"Tabebuia cassinoides"
"chauas",1,39,3,350,120,"Tabebuia cassinoides"
"chauas",1,40,1,320,60,"Myrcia sulfiflora"
"chauas",1,41,1,340,90,"Tabebuia cassinoides"
"chauas",1,41,2,280,90,"Tabebuia cassinoides"
"chauas",1,42,1,200,80,"Tabebuia cassinoides"
"chauas",1,43,1,270,50,"Myrcia sulfiflora"
"chauas",1,44,1,300,90,"Tabebuia cassinoides"
"chauas",1,44,2,220,90,"Tabebuia cassinoides"
"chauas",1,45,1,250,80,"Coussapoa micropoda"
"chauas",1,45,2,220,80,"Coussapoa micropoda"
"chauas",1,46,1,230,60,"Tabebuia cassinoides"
"chauas",1,46,2,150,60,"Tabebuia cassinoides"
"chauas",1,47,1,200,60,"Myrcia sulfiflora"
"chauas",1,47,2,160,60,"Myrcia sulfiflora"
"chauas",1,48,1,680,160,"myrtaceae1"
"jureia",2,41,1,340,100,"Tabebuia cassinoides"
"jureia",2,42,1,310,90,"jussara"
"jureia",2,43,1,420,160,"jussara"
"jureia",2,44,1,380,150,"bombacaceae"
"jureia",2,45,1,810,120,"Tabebuia cassinoides"
"jureia",2,46,1,170,80,"Coussapoa macrocarpa"
"jureia",2,47,1,300,80,"jussara"
"jureia",2,48,1,180,30,"jussara"
"jureia",2,49,1,610,180,"Tabebuia cassinoides"
"jureia",2,50,1,240,90,"jussara"
"jureia",2,51,1,360,170,"Tabebuia cassinoides"
"jureia",2,51,2,480,170,"Tabebuia cassinoides"
"jureia",2,51,3,350,170,"Tabebuia cassinoides"
"jureia",2,51,4,600,170,"Tabebuia cassinoides"
"jureia",2,52,1,300,70,"Tabebuia cassinoides"
"jureia",2,53,1,510,120,"Tabebuia cassinoides"
"jureia",2,53,2,310,120,"Tabebuia cassinoides"
"jureia",2,53,3,670,120,"Tabebuia cassinoides"
"jureia",2,54,1,630,110,"Pisonia sp"
"jureia",2,55,1,370,120,"jussara"
"jureia",2,56,1,330,150,"jussara"
"jureia",2,57,1,840,120,"Alchornea triplinervia"
"jureia",2,58,1,350,140,"Tabebuia cassinoides"
"jureia",2,58,2,800,140,"Tabebuia cassinoides"
"jureia",2,58,3,510,140,"Tabebuia cassinoides"
"jureia",2,58,4,640,140,"Tabebuia cassinoides"
"jureia",2,59,1,260,80,"jussara"
"jureia",2,60,1,400,100,"Psidium sp"
"jureia",2,60,2,390,100,"Psidium sp"
"jureia",2,60,3,420,100,"Psidium sp"
"jureia",2,60,4,180,100,"Psidium sp"
"jureia",2,61,1,810,120,"Tabebuia cassinoides"
"jureia",2,61,2,580,120,"Tabebuia cassinoides"
"jureia",2,62,1,280,140,"jussara"
"jureia",2,63,1,270,90,"jussara"
"jureia",2,64,1,280,100,"jussara"
"jureia",2,65,1,230,60,"Andira fraxinifolia"
"jureia",2,66,1,240,90,"Tabebuia cassinoides"
"jureia",2,67,1,620,180,"Tabebuia cassinoides"
"jureia",2,67,2,410,180,"Tabebuia cassinoides"
"jureia",2,68,1,190,110,"Cabralea canjerana"
"jureia",2,69,1,380,100,"Tabebuia cassinoides"
"jureia",2,69,2,170,100,"Tabebuia cassinoides"
"jureia",2,69,3,250,100,"Tabebuia cassinoides"
"jureia",2,70,1,450,120,"Tabebuia cassinoides"
"jureia",2,71,1,510,120,"Tabebuia cassinoides"
"jureia",2,72,1,290,110,"Persea sp"
"retiro",4,139,1,190,50,"Tabebuia cassinoides"
"retiro",4,139,2,140,50,"Tabebuia cassinoides"
"retiro",4,139,3,40,50,"Tabebuia cassinoides"
"retiro",4,139,4,60,50,"Tabebuia cassinoides"
"retiro",4,139,5,30,50,"Tabebuia cassinoides"
"retiro",4,139,6,160,50,"Tabebuia cassinoides"
"retiro",4,139,7,80,50,"Tabebuia cassinoides"
"retiro",4,139,8,80,50,"Tabebuia cassinoides"
"retiro",4,139,9,140,50,"Tabebuia cassinoides"
"retiro",4,139,10,60,50,"Tabebuia cassinoides"
"retiro",4,139,11,70,50,"Tabebuia cassinoides"
"retiro",4,140,1,190,60,"Tabebuia cassinoides"
"retiro",4,141,1,160,60,"Tabebuia cassinoides"
"retiro",4,142,1,180,50,"Tabebuia cassinoides"
"retiro",4,143,1,170,40,"Mela 1"
"retiro",4,144,1,240,60,"Tabebuia cassinoides"
"retiro",4,145,1,150,30,"Tabebuia cassinoides"
"retiro",4,146,1,230,50,"Tabebuia cassinoides"
"retiro",4,147,1,210,50,"Tabebuia cassinoides"
"retiro",4,148,1,160,50,"Tabebuia cassinoides"
"retiro",4,148,2,120,50,"Tabebuia cassinoides"
"retiro",4,149,1,290,80,"Tabebuia cassinoides"
"retiro",4,150,1,150,30,"Mela 1"
"retiro",4,151,1,220,60,"Tabebuia cassinoides"
"retiro",4,152,1,250,10,"Mela 1"
"retiro",4,153,1,160,60,"Tabebuia cassinoides"
"retiro",4,154,1,270,80,"Tabebuia cassinoides"
"retiro",4,155,1,190,30,"Tabebuia cassinoides"
"retiro",4,155,2,180,30,"Tabebuia cassinoides"
"retiro",4,156,1,210,5,"Mela 1"
"retiro",4,157,1,170,50,"Tabebuia cassinoides"
